80hari_03_verne_128kb_0178|laloe diangkatnja semoea kartoe jang terletak diatas médja itoe  serta katanja|laloe diangkatnja semoea kartoe jang terletak diatas médja itoe  serta katanja
80hari_03_verne_128kb_0190|tiada kesoesahan sedikitpoen akan melakoekan itoe|tiada kesoesahan sedikitpoen akan melakoekan itoe
80hari_03_verne_128kb_0197|djawab andrew stuart|djawab andrew stuart
80hari_03_verne_128kb_0203|tetapi tiba tiba diletakkannja semoea kartoe itoe  sambil berkata|tetapi tiba tiba diletakkannja semoea kartoe itoe  sambil berkata
80hari_03_verne_128kb_0205|fallentin mengenengahi perselisihan itoe  oedjarnja|fallentin mengenengahi perselisihan itoe  oedjarnja
80hari_03_verne_128kb_0216|toean fogg waktoe jang delapan poeloeh hari itoe terhitoeng sedikit sekali akan berlajar mengelilingi doenia|toean fogg waktoe jang delapan poeloeh hari itoe terhitoeng sedikit sekali akan berlajar mengelilingi doenia
80hari_03_verne_128kb_0232|djawab phileas fogg  baiklah  keréta api jang ke dover berangkat poekoel sembilan koerang seperempat|djawab phileas fogg  baiklah  keréta api jang ke dover berangkat poekoel sembilan koerang seperempat
80hari_03_verne_128kb_0234|stuart bertanja|stuart bertanja
80hari_03_verne_128kb_0238|djadi saja haroeslah tiba kembali di london lagi dalam bilik reform club ini pada hari sabtoe tanggal dua puluh satu december|djadi saja haroeslah tiba kembali di london lagi dalam bilik reform club ini pada hari sabtoe tanggal dua puluh satu december
80hari_03_verne_128kb_0241|maka toean toean menang dan boléh ambil oeangkoe doea poeloeh riboe pond pada gebroeders baring|maka toean toean menang dan boléh ambil oeangkoe doea poeloeh riboe pond pada gebroeders baring
80hari_03_verne_128kb_0246|phileas fogg bertaroeh itoe sekali kali tidak mengharap kemenangan|phileas fogg bertaroeh itoe sekali kali tidak mengharap kemenangan
80hari_03_verne_128kb_0247|tetapi ia berani mengoerbankan doea poeloeh riboe pond|tetapi ia berani mengoerbankan doea poeloeh riboe pond
80hari_03_verne_128kb_0251|haroes mengeloearkan belandja sebesar sisa kekajaannja jang masih ada|haroes mengeloearkan belandja sebesar sisa kekajaannja jang masih ada
80hari_03_verne_128kb_0252|lawan lawannja dalam pertaroehan itoe njata sekali tergoda pikirannja|lawan lawannja dalam pertaroehan itoe njata sekali tergoda pikirannja
80hari_03_verne_128kb_0255|akan tetapi lebih lebih sebab toean toean itoe merasa ta  senang bertaroeh tentang sesoeatoe hal jang ta  kan dapat dilakoekan|akan tetapi lebih lebih sebab toean toean itoe merasa ta  senang bertaroeh tentang sesoeatoe hal jang ta  kan dapat dilakoekan
80hari_03_verne_128kb_0256|maka lontjéng berboenjilah menjatakan hari soedah poekoel toedjoeh|maka lontjéng berboenjilah menjatakan hari soedah poekoel toedjoeh
80hari_03_verne_128kb_0257|toean toean jang terseboet memberi timbangan kepada phileas fogg akan memperhentikan robber|toean toean jang terseboet memberi timbangan kepada phileas fogg akan memperhentikan robber
80hari_03_verne_128kb_0262|engkau voor  toean stuart|engkau voor  toean stuart
80hari_23_verne_128kb_0001|pada pagi harinja bertambah sangatlah lapar passepartout|pada pagi harinja bertambah sangatlah lapar passepartout
80hari_23_verne_128kb_0004|ia ingat masih ada mempoenjai arlodji jang boléh didjoealnja|ia ingat masih ada mempoenjai arlodji jang boléh didjoealnja
80hari_23_verne_128kb_0031|setelah ia selesai makan dan merasa peroetnja soedah kenjang  berpikirlah ia|setelah ia selesai makan dan merasa peroetnja soedah kenjang  berpikirlah ia
80hari_23_verne_128kb_0046|boléhkah ia mengoeatkan kepertjajaan orang dalam berpakaian jang gandjil itoe|boléhkah ia mengoeatkan kepertjajaan orang dalam berpakaian jang gandjil itoe
80hari_23_verne_128kb_0095|ja benar demikian  toean|ja benar demikian  toean
80hari_23_verne_128kb_0096|lain dari pada itoe engkau mempoenjai kekoeatan djoega|lain dari pada itoe engkau mempoenjai kekoeatan djoega
80hari_23_verne_128kb_0098|pandaikah engkau menjanji|pandaikah engkau menjanji
80hari_23_verne_128kb_0103|waktoe passepartout mendjawab demikian itoe|waktoe passepartout mendjawab demikian itoe
80hari_23_verne_128kb_0106|itoelah jang terlebih perloe|itoelah jang terlebih perloe
80hari_23_verne_128kb_0109|maka dalam pekerdjaan jang baroe itoe iapoen disoeroeh menoendjoekkan permainan jang amat soekar|maka dalam pekerdjaan jang baroe itoe iapoen disoeroeh menoendjoekkan permainan jang amat soekar
80hari_23_verne_128kb_0131|mempertoendjoekkan kepandaiannja memboeat koepoe koepoe  dan boenga boengaan dari pada kertas itoe|mempertoendjoekkan kepandaiannja memboeat koepoe koepoe  dan boenga boengaan dari pada kertas itoe
80hari_23_verne_128kb_0165|batulcar dan orang itoe haroes diganti dengan jang koeat|batulcar dan orang itoe haroes diganti dengan jang koeat
80hari_23_verne_128kb_0167|passepartout merasa dirinja amat hina|passepartout merasa dirinja amat hina
80hari_23_verne_128kb_0171|tetapi hidoeng itoelah jang memberi penghidoepan kepadanja|tetapi hidoeng itoelah jang memberi penghidoepan kepadanja
80hari_23_verne_128kb_0172|maka diterimanjalah dengan sabar hati akan nasibnja itoe|maka diterimanjalah dengan sabar hati akan nasibnja itoe
80hari_23_verne_128kb_0185|maka jang meninggalkan tempatnja itoe  ialah passepartout|maka jang meninggalkan tempatnja itoe  ialah passepartout
80hari_23_verne_128kb_0187|laloe memeloek kaki orang itoe seraja mengeloeh  katanja|laloe memeloek kaki orang itoe seraja mengeloeh  katanja
80hari_23_verne_128kb_0193|tetapi diloear meréka itoe ditahan oléh batulcar dengan amat marahnja dan dimintanja keroegiannja kepada fogg|tetapi diloear meréka itoe ditahan oléh batulcar dengan amat marahnja dan dimintanja keroegiannja kepada fogg
80hari_01_verne_128kb_0010|djadi boléhlah dikatakan bahwa ahli pidato jang masjhoer itoe digantikan oleh phileas fogg|djadi boléhlah dikatakan bahwa ahli pidato jang masjhoer itoe digantikan oleh phileas fogg
80hari_01_verne_128kb_0012|dari kehidoepannja tiadalah apa apa jang diketahoei orang|dari kehidoepannja tiadalah apa apa jang diketahoei orang
80hari_01_verne_128kb_0013|hanja adalah ia seorang jang amat sopan dan masoek orang baik baik jang moelia moelia|hanja adalah ia seorang jang amat sopan dan masoek orang baik baik jang moelia moelia
80hari_01_verne_128kb_0015|tetapi banjak orang mengira ia boekan anak kota london|tetapi banjak orang mengira ia boekan anak kota london
80hari_01_verne_128kb_0020|djika orang mentjari nama phileas fogg itoe diantara nama advocaat advocaat dikota london|djika orang mentjari nama phileas fogg itoe diantara nama advocaat advocaat dikota london
80hari_01_verne_128kb_0030|jang termasjhoer kekajaannja dan tempat phileas fogg senantiasa menjimpan oeangnja|jang termasjhoer kekajaannja dan tempat phileas fogg senantiasa menjimpan oeangnja
80hari_01_verne_128kb_0033|seorangpoen tiada jang tahoe  dan rahasia itoe hanja phileas fogg sendiri jang tahoe|seorangpoen tiada jang tahoe  dan rahasia itoe hanja phileas fogg sendiri jang tahoe
80hari_01_verne_128kb_0040|sebab segala perboeatannja selama lamanja ta  berganti dari jang soedah biasa dilakoekannja|sebab segala perboeatannja selama lamanja ta  berganti dari jang soedah biasa dilakoekannja
80hari_01_verne_128kb_0052|meski perdjalanan itoe barangkali hanja dalam pikiran sadja|meski perdjalanan itoe barangkali hanja dalam pikiran sadja
80hari_01_verne_128kb_0060|hampir selamanja dalam main whist ia menang|hampir selamanja dalam main whist ia menang
80hari_01_verne_128kb_0066|main whist itoe dipandangnja seperti soeatoe peperangan jang penoeh dengan kesoesahan dan alangan|main whist itoe dipandangnja seperti soeatoe peperangan jang penoeh dengan kesoesahan dan alangan
80hari_01_verne_128kb_0086|maka langkahnja selamanja ta  beroebah seperti ia poelang balik diserambi depan roemahnja|maka langkahnja selamanja ta  beroebah seperti ia poelang balik diserambi depan roemahnja
80hari_01_verne_128kb_0091|dari kamar makanan dan minoeman roemah perhimpoenannja  clubnja|dari kamar makanan dan minoeman roemah perhimpoenannja  clubnja
80hari_01_verne_128kb_0103|meskipoen kehidoepan phileas fogg jang demikian itoe oléh orang lain dinamakan gandjil|meskipoen kehidoepan phileas fogg jang demikian itoe oléh orang lain dinamakan gandjil
80hari_01_verne_128kb_0130|orang perantjiskah engkau dan namamoe john|orang perantjiskah engkau dan namamoe john
80hari_01_verne_128kb_0134|ja ni nama jang akan hamba pakai selama lamanja dan telah hamba peroléh karena ketjakapan hamba pandai melakoekan diri dalam segala hal|ja ni nama jang akan hamba pakai selama lamanja dan telah hamba peroléh karena ketjakapan hamba pandai melakoekan diri dalam segala hal
80hari_01_verne_128kb_0136|dan lagi hamba haroes menerangkan  bahwa hamba ini telah melakoekan berdjenis djenis pekerdjaan|dan lagi hamba haroes menerangkan  bahwa hamba ini telah melakoekan berdjenis djenis pekerdjaan
80hari_01_verne_128kb_0150|maka dari sebab itoe hamba membenarkan diri akan mohon pekerdjaan kepada toean|maka dari sebab itoe hamba membenarkan diri akan mohon pekerdjaan kepada toean
80hari_01_verne_128kb_0153|setelah phileas fogg mendengar perkataan passepartout itoe  maka katanja|setelah phileas fogg mendengar perkataan passepartout itoe  maka katanja
80hari_01_verne_128kb_0159|tahoe toean   phileas fogg berkata poela|tahoe toean   phileas fogg berkata poela
80hari_01_verne_128kb_0164|arlodjimoe terlambat|arlodjimoe terlambat
80hari_01_verne_128kb_0167|phileas fogg tinggal tetap berkata|phileas fogg tinggal tetap berkata
80hari_02_verne_128kb_0020|apabila ia melihat air moeka phileas fogg|apabila ia melihat air moeka phileas fogg
80hari_02_verne_128kb_0021|moedahlah mengetahoei bahwa orang jang mempoenjai air moeka sematjam itoe|moedahlah mengetahoei bahwa orang jang mempoenjai air moeka sematjam itoe
80hari_02_verne_128kb_0022|soenggoehlah seorang jang tetap hatinja dan lebih soeka bekerdja dari pada bertjakap banjak|soenggoehlah seorang jang tetap hatinja dan lebih soeka bekerdja dari pada bertjakap banjak
80hari_02_verne_128kb_0041|ia ta  akan melihat keatas atau kekanan dan kekiri|ia ta  akan melihat keatas atau kekanan dan kekiri
80hari_02_verne_128kb_0049|tetapi itoelah jang memboeang waktoe|tetapi itoelah jang memboeang waktoe
80hari_02_verne_128kb_0052|ialah orang parijs sedjati|ialah orang parijs sedjati
80hari_02_verne_128kb_0055|dan pada waktoe pertemoeannja dengan phileas fogg ia masih mentjahari pekerdjaan|dan pada waktoe pertemoeannja dengan phileas fogg ia masih mentjahari pekerdjaan
80hari_02_verne_128kb_0056|maksoednja hendak mendjadi boedjang pada seorang jang bersetoedjoe dengan hatinja|maksoednja hendak mendjadi boedjang pada seorang jang bersetoedjoe dengan hatinja
80hari_02_verne_128kb_0071|perbédaan toean dan boedjang itoe jang lekas boléh diketahoei orang  jaitoe|perbédaan toean dan boedjang itoe jang lekas boléh diketahoei orang  jaitoe
80hari_02_verne_128kb_0087|lid parlemén inggeris|lid parlemén inggeris
80hari_02_verne_128kb_0091|oléh sebab passepartout harap soepaja toeannja tinggal baik pada pemandangan orang|oléh sebab passepartout harap soepaja toeannja tinggal baik pada pemandangan orang
80hari_02_verne_128kb_0105|maka ketika poekoel setengah doea belas berboenji|maka ketika poekoel setengah doea belas berboenji
80hari_02_verne_128kb_0109|diantéro tempat kedapatan baik|diantéro tempat kedapatan baik
80hari_02_verne_128kb_0126|sa atnja phileas fogg pergi keroemah reform club  peratoerannja seperti berikoet|sa atnja phileas fogg pergi keroemah reform club  peratoerannja seperti berikoet
80hari_02_verne_128kb_0128|air akan bertjoekoer poekoel sembilan tiga poeloeh toedjoeh menit|air akan bertjoekoer poekoel sembilan tiga poeloeh toedjoeh menit
80hari_02_verne_128kb_0145|tetapi sesoenggoehnja oentoek toean phileas fogg semoeanja itoe mémang ta  perloe|tetapi sesoenggoehnja oentoek toean phileas fogg semoeanja itoe mémang ta  perloe
80hari_02_verne_128kb_0150|itoelah menandakan bahwa orang isi roemah itoe ta  soeka kepada perkelahian atau permoesoehan|itoelah menandakan bahwa orang isi roemah itoe ta  soeka kepada perkelahian atau permoesoehan
80hari_04_verne_128kb_0040|didjalan kita beli apa jang koerang|didjalan kita beli apa jang koerang
80hari_04_verne_128kb_0051|maka pada pikirannja gilalah toeannja itoe|maka pada pikirannja gilalah toeannja itoe
80hari_04_verne_128kb_0078|beberapa keréta ada berhenti dioedjoeng saville row|beberapa keréta ada berhenti dioedjoeng saville row
80hari_04_verne_128kb_0083|maka cab jang dinaiki meréka itoe berhentilah dimoeka pagar besi station|maka cab jang dinaiki meréka itoe berhentilah dimoeka pagar besi station
80hari_04_verne_128kb_0088|sehelai sjal jang robak rabik menoetoepi pakaiannja jang soedah kojak kojak itoe|sehelai sjal jang robak rabik menoetoepi pakaiannja jang soedah kojak kojak itoe
80hari_04_verne_128kb_0109|andrew stuart menjamboeng perkataan itoe|andrew stuart menjamboeng perkataan itoe
80hari_04_verne_128kb_0112|ja toean saja akan kembali dalam delapan poeloeh hari|ja toean saja akan kembali dalam delapan poeloeh hari
80hari_04_verne_128kb_0114|selamat djalan  toean fogg|selamat djalan  toean fogg
80hari_04_verne_128kb_0115|sampai waktoe kita bertemoe lagi  toean toean|sampai waktoe kita bertemoe lagi  toean toean
80hari_05_verne_128kb_0005|sehingga seloeroeh keradjaan inggerispoen mendengarlah warta jang sedemikian itoe|sehingga seloeroeh keradjaan inggerispoen mendengarlah warta jang sedemikian itoe
80hari_05_verne_128kb_0007|dimana mana hal itoe diperbintjangkan orang|dimana mana hal itoe diperbintjangkan orang
80hari_05_verne_128kb_0037|tidak lama antaranja sesoedah phileas fogg berangkat dari kota london|tidak lama antaranja sesoedah phileas fogg berangkat dari kota london
80hari_05_verne_128kb_0043|berapa pekerti jang lebih  adjaib  adjaib soedah kami lihat|berapa pekerti jang lebih  adjaib  adjaib soedah kami lihat
80hari_05_verne_128kb_0048|menoeroet karangan itoe banjak sekali alangan jang akan terdapat oléh phileas fogg dalam pelajarannja|menoeroet karangan itoe banjak sekali alangan jang akan terdapat oléh phileas fogg dalam pelajarannja
80hari_05_verne_128kb_0064|meskipoen perdjalanan jang sebagian ketjil itoe boléh diharap langsoeng dalam waktoenja|meskipoen perdjalanan jang sebagian ketjil itoe boléh diharap langsoeng dalam waktoenja
80hari_05_verne_128kb_0077|nistjaja kemoedian akan terpaksalah ia menoenggoe kapal jang lain|nistjaja kemoedian akan terpaksalah ia menoenggoe kapal jang lain
80hari_05_verne_128kb_0094|jaitoe setelah karangan itoe termoeat dalam soerat kabar aardrijkskundig genootschap|jaitoe setelah karangan itoe termoeat dalam soerat kabar aardrijkskundig genootschap
80hari_05_verne_128kb_0113|sehingga banjaklah orang jang melawan pikiran phileas fogg itoe|sehingga banjaklah orang jang melawan pikiran phileas fogg itoe
80hari_05_verne_128kb_0119|maka diterimalah oléh pembesar polisi dalam kota sepoetjoek soerat kawat jang boenjinja demikian|maka diterimalah oléh pembesar polisi dalam kota sepoetjoek soerat kawat jang boenjinja demikian
80hari_05_verne_128kb_0120|dari suez ke london   rowan  directeur polisi  hoofddirectie scotlandplace|dari suez ke london   rowan  directeur polisi  hoofddirectie scotlandplace
80hari_05_verne_128kb_0121|pentjoeri bank  phileas fogg  saja ikoet|pentjoeri bank  phileas fogg  saja ikoet
80hari_05_verne_128kb_0128|tatkala ia mengambil oeang kertas terseboet|tatkala ia mengambil oeang kertas terseboet
80hari_06_verne_128kb_0035|apabila ia beroentoeng dapat menangkap pentjoeri jang ditjahari itoe|apabila ia beroentoeng dapat menangkap pentjoeri jang ditjahari itoe
80hari_06_verne_128kb_0069|akan tetapi saja bertanja kepada toean|akan tetapi saja bertanja kepada toean
80hari_06_verne_128kb_0072|o  toean konsol  ketahoeilah oléh toean  semoea pentjoeri pentjoeri roepanja seperti orang baik baik  sebab kalau tiada demikian  apabila ia soeka melakoekan kelakoean djahat  maka dengan sebentar tentoe akan tertangkaplah ia|o  toean konsol  ketahoeilah oléh toean  semoea pentjoeri pentjoeri roepanja seperti orang baik baik  sebab kalau tiada demikian  apabila ia soeka melakoekan kelakoean djahat  maka dengan sebentar tentoe akan tertangkaplah ia
80hari_06_verne_128kb_0082|beberapa menara didalam kota kelihatan karena sinar matahari jang hendak terbenam|beberapa menara didalam kota kelihatan karena sinar matahari jang hendak terbenam
80hari_06_verne_128kb_0085|beberapa perahoe kail berlajar menjoesoel pantai kian kemari didalam laoet mérah|beberapa perahoe kail berlajar menjoesoel pantai kian kemari didalam laoet mérah
80hari_06_verne_128kb_0086|beberapa antara perahoe perahoe itoe banjak jang élok sekali bangoen dan perhiasannja dan boléh dikatakan asal dari djaman poerbakala|beberapa antara perahoe perahoe itoe banjak jang élok sekali bangoen dan perhiasannja dan boléh dikatakan asal dari djaman poerbakala
80hari_06_verne_128kb_0103|djawab konsol   benar  djikalau pentjoeri itoe boekan orang tjerdik  sebab pentjoeri jang tjerdik ta  akan maoe ia keloear dari kota london  karena disana lebih soesah ditjari dari pada ditempat lain|djawab konsol   benar  djikalau pentjoeri itoe boekan orang tjerdik  sebab pentjoeri jang tjerdik ta  akan maoe ia keloear dari kota london  karena disana lebih soesah ditjari dari pada ditempat lain
80hari_06_verne_128kb_0112|tetapi dalam fix berpikir pikir itoe terkedjoetlah ia  karena boenji  pelesit  kapal api jang datang|tetapi dalam fix berpikir pikir itoe terkedjoetlah ia  karena boenji  pelesit  kapal api jang datang
80hari_06_verne_128kb_0122|dengan hati hati fix mengamat amati tiap tiap orang jang toeroen dari perahoe itoe|dengan hati hati fix mengamat amati tiap tiap orang jang toeroen dari perahoe itoe
80hari_06_verne_128kb_0125|setelah dekat penoempang itoe bertanja dengan hormat  dimana letaknja kantor konsol inggeris|setelah dekat penoempang itoe bertanja dengan hormat  dimana letaknja kantor konsol inggeris
80hari_06_verne_128kb_0130|kemoedian fix berkata kepada jang memegang pas|kemoedian fix berkata kepada jang memegang pas
80hari_06_verne_128kb_0138|soepaja disamakan nama|soepaja disamakan nama
80hari_07_verne_128kb_0006|bahwa pentjoeri jang kami nantikan itoe  benar ada menoempang dengan kapal  mongolia|bahwa pentjoeri jang kami nantikan itoe  benar ada menoempang dengan kapal  mongolia
80hari_07_verne_128kb_0024|apabila pas itoe benar|apabila pas itoe benar
80hari_07_verne_128kb_0035|soenggoeh benarlah kedoea orang asing itoe seorang toean dengan boedjangnja|soenggoeh benarlah kedoea orang asing itoe seorang toean dengan boedjangnja
80hari_07_verne_128kb_0046|dan lagi sekarang kami tiada memeriksa pas pas lagi|dan lagi sekarang kami tiada memeriksa pas pas lagi
80hari_07_verne_128kb_0049|tetapi maksoed saja minta tanda tangan itoe hanja oentoek keterangan sadja saja datang ke suez|tetapi maksoed saja minta tanda tangan itoe hanja oentoek keterangan sadja saja datang ke suez
80hari_07_verne_128kb_0080|hari sabtoe lima october  djam poekoel empat petang sampai ke brindisi|hari sabtoe lima october  djam poekoel empat petang sampai ke brindisi
80hari_07_verne_128kb_0085|maka segala peringatan tentang perdjalanan fogg itoe ditoelisnja dalam seboeah boekoe jang berisi roeang roeangnja menerangkan boelan|maka segala peringatan tentang perdjalanan fogg itoe ditoelisnja dalam seboeah boekoe jang berisi roeang roeangnja menerangkan boelan
80hari_08_verne_128kb_0000|bab jang kedelapan peri meriwajatkan passepartout berkata kata lebih dari pada perloenja|bab jang kedelapan peri meriwajatkan passepartout berkata kata lebih dari pada perloenja
80hari_08_verne_128kb_0003|karena ia merasa sajang tinggal diam sadja tiada melihat tamasja|karena ia merasa sajang tinggal diam sadja tiada melihat tamasja
80hari_08_verne_128kb_0004|maka tiba tiba fix berkata|maka tiba tiba fix berkata
80hari_08_verne_128kb_0009|sekarang engkau melihat lihat kota|sekarang engkau melihat lihat kota
80hari_08_verne_128kb_0011|karena perdjalanan kami tergesa gesa seolah olah segala apa jang koelihat itoe tampak dalam mimpi sekarang kami di suez|karena perdjalanan kami tergesa gesa seolah olah segala apa jang koelihat itoe tampak dalam mimpi sekarang kami di suez
80hari_08_verne_128kb_0022|itoepoen hanja melihat dari djendéla keréta api waktoe hoedjan besar|itoepoen hanja melihat dari djendéla keréta api waktoe hoedjan besar
80hari_08_verne_128kb_0025|inspecteur polisi fix bertanja  katanja|inspecteur polisi fix bertanja  katanja
80hari_08_verne_128kb_0029|o ja  saja disoeroeh membeli kaoes péndék dan badjoe kemédja|o ja  saja disoeroeh membeli kaoes péndék dan badjoe kemédja
80hari_08_verne_128kb_0039|poekoel doea belas kata toean|poekoel doea belas kata toean
80hari_08_verne_128kb_0043|djalannja amat baik  dalam setahoen ta  berbéda barang lima menit|djalannja amat baik  dalam setahoen ta  berbéda barang lima menit
80hari_08_verne_128kb_0048|wah toean  banjak terima kasih|wah toean  banjak terima kasih
80hari_08_verne_128kb_0052|dengan berkata demikian itoe passepartout laloe menjimpan arlodjinja kembali kedalam sakoe rompinja|dengan berkata demikian itoe passepartout laloe menjimpan arlodjinja kembali kedalam sakoe rompinja
80hari_08_verne_128kb_0054|djadi engkau berangkat dari london amat tergesa gesa sekali  boekan|djadi engkau berangkat dari london amat tergesa gesa sekali  boekan
80hari_08_verne_128kb_0060|fix mengoelangi perkataan passepartout  katanja|fix mengoelangi perkataan passepartout  katanja
80hari_08_verne_128kb_0062|benar  mengelilingi doenia dalam delapan poeloeh hari|benar  mengelilingi doenia dalam delapan poeloeh hari
80hari_08_verne_128kb_0065|peratoeran jang sematjam itoe seperti peratoeran orang gila  boekan|peratoeran jang sematjam itoe seperti peratoeran orang gila  boekan
80hari_08_verne_128kb_0067|o  kalau demikian  amat gandjillah kelakoean toean fogg itoe|o  kalau demikian  amat gandjillah kelakoean toean fogg itoe
80hari_08_verne_128kb_0076|djawab passepartout|djawab passepartout
80hari_08_verne_128kb_0077|o toean saja masoek djadi boedjang toean saja pada hari itoe djoega|o toean saja masoek djadi boedjang toean saja pada hari itoe djoega
80hari_08_verne_128kb_0079|sekarang dapatlah didoega betapa pikiran inspecteur polisi fix|sekarang dapatlah didoega betapa pikiran inspecteur polisi fix
80hari_08_verne_128kb_0080|setelah mendengar segala keterangan dari passepartout|setelah mendengar segala keterangan dari passepartout
80hari_08_verne_128kb_0083|jaitoe tidak lama setelah pentjoerian besar itoe terdjadi|jaitoe tidak lama setelah pentjoerian besar itoe terdjadi
80hari_08_verne_128kb_0084|kemoedian dari pada itoe phileas fogg itoe setjepat tjepatnja berharap sampai ditempat tempat jang djaoeh djaoeh|kemoedian dari pada itoe phileas fogg itoe setjepat tjepatnja berharap sampai ditempat tempat jang djaoeh djaoeh
80hari_08_verne_128kb_0087|bahwa perdjalanan fogg itoe hanja dilakoekannja oentoek pertaroehan jang sebesar itoe|bahwa perdjalanan fogg itoe hanja dilakoekannja oentoek pertaroehan jang sebesar itoe
80hari_08_verne_128kb_0091|s b lain dari pada itoe sekarang fix dapat mengetahoei djoega|s b lain dari pada itoe sekarang fix dapat mengetahoei djoega
80hari_08_verne_128kb_0107|fix tiada mendengarkan lagi akan tjakap passepartout|fix tiada mendengarkan lagi akan tjakap passepartout
80hari_08_verne_128kb_0122|mengapakah pentjoeri itoe memperloekan menjoeroeh minta tékan soerat pasnja di suez|mengapakah pentjoeri itoe memperloekan menjoeroeh minta tékan soerat pasnja di suez
80hari_08_verne_128kb_0134|kemoedian inspecteur polisi itoe pergi kekantor kawat|kemoedian inspecteur polisi itoe pergi kekantor kawat
80hari_09_verne_128kb_0043|piano tiada diboenjikan lagi  dan tari dan njanjipoen berhentilah|piano tiada diboenjikan lagi  dan tari dan njanjipoen berhentilah
80hari_09_verne_128kb_0055|phileas fogg mengerti djoega|phileas fogg mengerti djoega
80hari_09_verne_128kb_0058|biasanja  ta  takoet akan kedjadian jang memberi koeatir|biasanja  ta  takoet akan kedjadian jang memberi koeatir
80hari_09_verne_128kb_0065|tetapi phileas fogg sekali kali tiada hendak memikirkan hal itoe semoeanja|tetapi phileas fogg sekali kali tiada hendak memikirkan hal itoe semoeanja
80hari_09_verne_128kb_0066|phileas fogg seolah olah terpendjara roepanja dalam kapal  mongolia  itoe|phileas fogg seolah olah terpendjara roepanja dalam kapal  mongolia  itoe
80hari_09_verne_128kb_0070|lain dari pada itoe ia ta  berhenti main whist|lain dari pada itoe ia ta  berhenti main whist
80hari_09_verne_128kb_0072|jaitoe seorang pegawai belasting jang hendak mendjalankan pekerdjaannja di goa|jaitoe seorang pegawai belasting jang hendak mendjalankan pekerdjaannja di goa
80hari_09_verne_128kb_0076|jang hendak pergi menoedjoe pasoekannja di benares|jang hendak pergi menoedjoe pasoekannja di benares
80hari_09_verne_128kb_0077|keempat meréka itoe bermainlah beberapa djam lamanja bertoeroet toeroet dengan tiada mengeloearkan perkataan sepatahpoen|keempat meréka itoe bermainlah beberapa djam lamanja bertoeroet toeroet dengan tiada mengeloearkan perkataan sepatahpoen
80hari_09_verne_128kb_0093|hendak pergi kemanakah toean|hendak pergi kemanakah toean
80hari_09_verne_128kb_0094|saja hendak pergi ke bombay djoega|saja hendak pergi ke bombay djoega
80hari_09_verne_128kb_0114|saja ta  pernah melihat toeanmoe didék|saja ta  pernah melihat toeanmoe didék
80hari_09_verne_128kb_0125|oléh passepartout disamboetnja dengan tiada pandjang tjeritera|oléh passepartout disamboetnja dengan tiada pandjang tjeritera
80hari_09_verne_128kb_0151|djadi ia beroentoeng lima belas djam|djadi ia beroentoeng lima belas djam
